Region;Del;Kon;Tema;Varde_stand
0117 Österåker;Livskvalitet;Män;T12;54,493316301616531
0117 Österåker;Livskvalitet;Män;T2;77,905925908283805
0117 Österåker;Livskvalitet;Män;T3;34,301780693533310
0117 Österåker;Livskvalitet;Män;T4;69,914738124238738
0117 Österåker;Livskvalitet;Män;T5;64,367228607239610
0117 Österåker;Livskvalitet;Män;T6;56,063499026900594
0117 Österåker;Livskvalitet;Män;T7;70,093765230197974
0117 Österåker;Livskvalitet;Män;T8;99,497489674331021
0117 Österåker;Livskvalitet;Män;T9;55,456687790180531
0117 Österåker;Livskvalitet;Totalt;T1;42,833893242827600
0117 Österåker;Livskvalitet;Totalt;T10;71,888906780448536
0117 Österåker;Livskvalitet;Totalt;T11;50,107984438970149
0117 Österåker;Livskvalitet;Totalt;T12;54,919487215682892
0117 Österåker;Livskvalitet;Totalt;T2;65,322390235797016
0117 Österåker;Livskvalitet;Totalt;T3;55,572801853913390
0117 Österåker;Livskvalitet;Totalt;T4;68,833904567509052
0117 Österåker;Livskvalitet;Totalt;T5;75,929893032137102
0117 Österåker;Livskvalitet;Totalt;T6;58,863862357104722
0117 Österåker;Livskvalitet;Totalt;T7;72,493374974853836
0117 Österåker;Livskvalitet;Totalt;T8;71,583847993687172
0117 Österåker;Livskvalitet;Totalt;T9;61,180428940505571
0120 Värmdö;Hållbarhet;Kvinnor;Ekonomi;38,733040910035882
0120 Värmdö;Hållbarhet;Kvinnor;Social;63,930844961812653
0120 Värmdö;Hållbarhet;Män;Ekonomi;52,528174034983216
0120 Värmdö;Hållbarhet;Män;Social;62,744188161052499
0120 Värmdö;Hållbarhet;Totalt;Ekonomi;45,620736307544604
0120 Värmdö;Hållbarhet;Totalt;Miljö;67,879465418939859
0120 Värmdö;Hållbarhet;Totalt;Social;69,091924548800904
0120 Värmdö;Livskvalitet;Kvinnor;T1;86,651835372636256
0120 Värmdö;Livskvalitet;Kvinnor;T10;75,635978805842043
0120 Värmdö;Livskvalitet;Kvinnor;T11;66,963895822167842
0120 Värmdö;Livskvalitet;Kvinnor;T12;48,460705549391193
0120 Värmdö;Livskvalitet;Kvinnor;T2;44,174711136571510
0120 Värmdö;Livskvalitet;Kvinnor;T3;52,389878163074023
0120 Värmdö;Livskvalitet;Kvinnor;T4;73,812423873325216
0120 Värmdö;Livskvalitet;Kvinnor;T5;42,336427413257859
0120 Värmdö;Livskvalitet;Kvinnor;T6;57,215738673010257
0120 Värmdö;Livskvalitet;Kvinnor;T7;72,756879280112287
0120 Värmdö;Livskvalitet;Kvinnor;T8;53,429702533920839
0120 Värmdö;Livskvalitet;Kvinnor;T9;69,626634824130377
0120 Värmdö;Livskvalitet;Män;T1;73,303670745272512
0120 Värmdö;Livskvalitet;Män;T10;68,907606917499010
0120 Värmdö;Livskvalitet;Män;T11;41,883140342890108
0120 Värmdö;Livskvalitet;Män;T12;54,493316301616531
0120 Värmdö;Livskvalitet;Män;T2;83,130419649523958
0120 Värmdö;Livskvalitet;Män;T3;34,301780693533310
0120 Värmdö;Livskvalitet;Män;T4;71,619975639464073
0120 Värmdö;Livskvalitet;Män;T5;63,011453267817728
0120 Värmdö;Livskvalitet;Män;T6;61,437345455022317
0120 Värmdö;Livskvalitet;Män;T7;68,298226266935643
0120 Värmdö;Livskvalitet;Män;T8;104,810632072290261
0120 Värmdö;Livskvalitet;Män;T9;52,058307238789808
0120 Värmdö;Livskvalitet;Totalt;T1;49,415443151092397
0120 Värmdö;Livskvalitet;Totalt;T10;72,777855234081215
0120 Värmdö;Livskvalitet;Totalt;T11;50,623475486170598
0120 Värmdö;Livskvalitet;Totalt;T12;72,583412963847735
0120 Värmdö;Livskvalitet;Totalt;T2;70,736189995873133
0120 Värmdö;Livskvalitet;Totalt;T3;67,353951890034367
0120 Värmdö;Livskvalitet;Totalt;T4;63,841124272109774
0120 Värmdö;Livskvalitet;Totalt;T5;59,681200010502870
0120 Värmdö;Livskvalitet;Totalt;T6;60,403505040418985
0120 Värmdö;Livskvalitet;Totalt;T7;70,638784625170416
0120 Värmdö;Livskvalitet;Totalt;T8;79,091341129385000
0120 Värmdö;Livskvalitet;Totalt;T9;70,394771201044961
0123 Järfälla;Hållbarhet;Kvinnor;Ekonomi;20,426565919073649
0123 Järfälla;Hållbarhet;Kvinnor;Social;56,264042741612897
0123 Järfälla;Hållbarhet;Män;Ekonomi;31,821429255609743
0123 Järfälla;Hållbarhet;Män;Social;53,755754640466542
0123 Järfälla;Hållbarhet;Totalt;Ekonomi;26,467255801596757
0123 Järfälla;Hållbarhet;Totalt;Miljö;82,643078688164849
0123 Järfälla;Hållbarhet;Totalt;Social;59,156765097101314
0123 Järfälla;Livskvalitet;Kvinnor;T1;49,944382647385979
0123 Järfälla;Livskvalitet;Kvinnor;T10;66,699965867446878
0123 Järfälla;Livskvalitet;Kvinnor;T11;53,954009199077809
0123 Järfälla;Livskvalitet;Kvinnor;T12;46,143358453141069
0123 Järfälla;Livskvalitet;Kvinnor;T2;30,223887872840614
0123 Järfälla;Livskvalitet;Kvinnor;T3;62,886597938144327
0123 Järfälla;Livskvalitet;Kvinnor;T4;97,198538367844108
0123 Järfälla;Livskvalitet;Kvinnor;T5;43,863402228581677
0123 Järfälla;Livskvalitet;Kvinnor;T6;46,237895629013302
0123 Järfälla;Livskvalitet;Kvinnor;T7;55,843853417739652
0123 Järfälla;Livskvalitet;Kvinnor;T8;37,907308826262764
0123 Järfälla;Livskvalitet;Kvinnor;T9;58,545191623203920
0123 Järfälla;Livskvalitet;Män;T1;33,259176863181310
0123 Järfälla;Livskvalitet;Män;T10;53,549938385208854
0123 Järfälla;Livskvalitet;Män;T11;6,644989730379316
0123 Järfälla;Livskvalitet;Män;T12;55,326231739275244
0123 Järfälla;Livskvalitet;Män;T2;68,332077026904869
0123 Järfälla;Livskvalitet;Män;T3;17,525773195876294
0123 Järfälla;Livskvalitet;Män;T4;97,076735688185138
0123 Järfälla;Livskvalitet;Män;T5;47,759637127697928
0123 Järfälla;Livskvalitet;Män;T6;58,141965714934649
0123 Järfälla;Livskvalitet;Män;T7;52,320856735539607
0123 Järfälla;Livskvalitet;Män;T8;99,622365994464047
0123 Järfälla;Livskvalitet;Män;T9;59,434885212957155
0123 Järfälla;Livskvalitet;Totalt;T1;21,989231460933762
0123 Järfälla;Livskvalitet;Totalt;T10;59,928191137677189
0123 Järfälla;Livskvalitet;Totalt;T11;26,378314784727962
0123 Järfälla;Livskvalitet;Totalt;T12;51,092123456253908
0123 Järfälla;Livskvalitet;Totalt;T2;49,929226214128938
0123 Järfälla;Livskvalitet;Totalt;T3;34,002846257283736
0123 Järfälla;Livskvalitet;Totalt;T4;97,686122207895835
0123 Järfälla;Livskvalitet;Totalt;T5;57,339034382001621
0123 Järfälla;Livskvalitet;Totalt;T6;43,263934894182434
0123 Järfälla;Livskvalitet;Totalt;T7;54,064814115042402
0123 Järfälla;Livskvalitet;Totalt;T8;69,112142719610375
0123 Järfälla;Livskvalitet;Totalt;T9;59,919249822837983
0125 Ekerö;Hållbarhet;Kvinnor;Ekonomi;38,453042965475206
0125 Ekerö;Hållbarhet;Kvinnor;Social;63,417813933678694
0125 Ekerö;Hållbarhet;Män;Ekonomi;51,940221737882069
0125 Ekerö;Hållbarhet;Män;Social;57,391049917699171
0125 Ekerö;Hållbarhet;Totalt;Ekonomi;45,421257646086573
0125 Ekerö;Hållbarhet;Totalt;Miljö;72,376230876589887
0125 Ekerö;Hållbarhet;Totalt;Social;68,211225730073735
0125 Ekerö;Livskvalitet;Kvinnor;T1;89,988876529477196
0125 Ekerö;Livskvalitet;Kvinnor;T10;82,801729676919365
0125 Ekerö;Livskvalitet;Kvinnor;T11;65,080190463733217
0125 Ekerö;Livskvalitet;Kvinnor;T12;48,460705549391193
0125 Ekerö;Livskvalitet;Kvinnor;T2;37,605188155565273
0125 Ekerö;Livskvalitet;Kvinnor;T3;52,389878163074023
0125 Ekerö;Livskvalitet;Kvinnor;T4;78,075517661388545
0125 Ekerö;Livskvalitet;Kvinnor;T5;45,465893394416568
0125 Ekerö;Livskvalitet;Kvinnor;T6;57,173183642736717
0125 Ekerö;Livskvalitet;Kvinnor;T7;71,693318280913857
0125 Ekerö;Livskvalitet;Kvinnor;T8;48,065808262538553
0125 Ekerö;Livskvalitet;Kvinnor;T9;70,917235672357151
0125 Ekerö;Livskvalitet;Män;T1;76,640711902113452
0125 Ekerö;Livskvalitet;Män;T10;66,472101989290309
0125 Ekerö;Livskvalitet;Män;T11;45,227424462226807
0125 Ekerö;Livskvalitet;Män;T12;54,493316301616531
0125 Ekerö;Livskvalitet;Män;T2;77,642841559491117
0125 Ekerö;Livskvalitet;Män;T3;34,301780693533310
0125 Ekerö;Livskvalitet;Män;T4;77,831912302070648
0125 Ekerö;Livskvalitet;Män;T5;68,205926238918920
0125 Ekerö;Livskvalitet;Män;T6;48,433353837810955
0125 Ekerö;Livskvalitet;Män;T7;67,907070711275935
0125 Ekerö;Livskvalitet;Män;T8;100,398335427590112
0125 Ekerö;Livskvalitet;Män;T9;54,090477961640374
0125 Ekerö;Livskvalitet;Totalt;T1;42,660256020420256
0125 Ekerö;Livskvalitet;Totalt;T10;74,776002100910617
0125 Ekerö;Livskvalitet;Totalt;T11;46,727584329552251
0125 Ekerö;Livskvalitet;Totalt;T12;57,947727503063504
0125 Ekerö;Livskvalitet;Totalt;T2;56,572639070278463
0125 Ekerö;Livskvalitet;Totalt;T3;45,407530714453642
0125 Ekerö;Livskvalitet;Totalt;T4;65,457909777782277
0125 Ekerö;Livskvalitet;Totalt;T5;61,928292468039380
0125 Ekerö;Livskvalitet;Totalt;T6;54,214953854867083
0125 Ekerö;Livskvalitet;Totalt;T7;69,961038758766790
0125 Ekerö;Livskvalitet;Totalt;T8;74,234409102393016
0125 Ekerö;Livskvalitet;Totalt;T9;64,175237620558420
0126 Huddinge;Hållbarhet;Kvinnor;Ekonomi;22,096974727426602
0126 Huddinge;Hållbarhet;Kvinnor;Social;57,303341797868597
0126 Huddinge;Hållbarhet;Män;Ekonomi;32,535931793806299
0126 Huddinge;Hållbarhet;Män;Social;53,297723063301710
0126 Huddinge;Hållbarhet;Totalt;Ekonomi;27,397608343353770
