Region;Del;Kon;Varde_stand
0461 Gnesta;Hållbarhet;Män;44,4589021955271
0461 Gnesta;Hållbarhet;Totalt;54,4755995854827
0461 Gnesta;Livskvalitet;Kvinnor;46,8353381640171
0461 Gnesta;Livskvalitet;Män;55,5403341835631
0461 Gnesta;Livskvalitet;Totalt;51,0043334880429
0480 Nyköping;Hållbarhet;Kvinnor;35,9339403859177
0480 Nyköping;Hållbarhet;Män;44,2187504782324
0480 Nyköping;Hållbarhet;Totalt;49,7492083818091
0480 Nyköping;Livskvalitet;Kvinnor;47,6811051955473
0480 Nyköping;Livskvalitet;Män;59,2210671127659
0480 Nyköping;Livskvalitet;Totalt;53,1694756627190
0481 Oxelösund;Hållbarhet;Kvinnor;25,8768703795362
0481 Oxelösund;Hållbarhet;Män;39,6885167072197
0481 Oxelösund;Hållbarhet;Totalt;36,8186270196918
0481 Oxelösund;Livskvalitet;Kvinnor;48,3166103194208
0481 Oxelösund;Livskvalitet;Män;60,0586727519281
0481 Oxelösund;Livskvalitet;Totalt;51,8842968461981
0482 Flen;Hållbarhet;Kvinnor;29,9633188885043
0482 Flen;Hållbarhet;Män;39,6985045388106
0482 Flen;Hållbarhet;Totalt;43,7372466322674
0482 Flen;Livskvalitet;Kvinnor;42,7077946139049
0482 Flen;Livskvalitet;Män;50,1647632284704
0482 Flen;Livskvalitet;Totalt;46,1757862644928
0483 Katrineholm;Hållbarhet;Kvinnor;33,7154012924616
0483 Katrineholm;Hållbarhet;Män;35,5230084504130
0483 Katrineholm;Hållbarhet;Totalt;46,8003729467513
0483 Katrineholm;Livskvalitet;Kvinnor;44,3387835813342
0483 Katrineholm;Livskvalitet;Män;54,6282582781192
0483 Katrineholm;Livskvalitet;Totalt;46,7595926340476
0484 Eskilstuna;Hållbarhet;Kvinnor;34,1738404926891
0484 Eskilstuna;Hållbarhet;Män;36,4863309320398
0484 Eskilstuna;Hållbarhet;Totalt;47,6783120581313
0484 Eskilstuna;Livskvalitet;Kvinnor;51,3996491003513
0484 Eskilstuna;Livskvalitet;Män;56,0813167037443
0484 Eskilstuna;Livskvalitet;Totalt;50,2811078176705
0486 Strängnäs;Hållbarhet;Kvinnor;43,0578814210908
0486 Strängnäs;Hållbarhet;Män;44,6082194716956
0486 Strängnäs;Hållbarhet;Totalt;54,3274607951805
0486 Strängnäs;Livskvalitet;Kvinnor;51,8907830075290
0486 Strängnäs;Livskvalitet;Män;57,5354188755889
0486 Strängnäs;Livskvalitet;Totalt;48,8369398573931
0488 Trosa;Hållbarhet;Kvinnor;51,9961039969687
0488 Trosa;Hållbarhet;Män;53,1894052534902
0488 Trosa;Hållbarhet;Totalt;62,2461197692643
0488 Trosa;Livskvalitet;Kvinnor;55,1991119166144
0488 Trosa;Livskvalitet;Män;61,6988015095215
0488 Trosa;Livskvalitet;Totalt;55,9372734253450
0509 Ödeshög;Hållbarhet;Kvinnor;42,1417710834519
0509 Ödeshög;Hållbarhet;Män;47,3318897478487
0509 Ödeshög;Hållbarhet;Totalt;50,9672035186454
0509 Ödeshög;Livskvalitet;Kvinnor;51,7383517555187
0509 Ödeshög;Livskvalitet;Män;55,8546024037736
0509 Ödeshög;Livskvalitet;Totalt;51,6740500706250
0512 Ydre;Hållbarhet;Kvinnor;41,4879196249429
0512 Ydre;Hållbarhet;Män;49,2745338411486
0512 Ydre;Hållbarhet;Totalt;52,2682553251561
0512 Ydre;Livskvalitet;Kvinnor;53,5502447497186
0512 Ydre;Livskvalitet;Män;63,6318781435173
0512 Ydre;Livskvalitet;Totalt;58,1828017297198
0513 Kinda;Hållbarhet;Kvinnor;42,1230253605937
0513 Kinda;Hållbarhet;Män;42,6110214321310
0513 Kinda;Hållbarhet;Totalt;56,5926234809613
0513 Kinda;Livskvalitet;Kvinnor;52,8912906349608
0513 Kinda;Livskvalitet;Män;56,6157630455080
0513 Kinda;Livskvalitet;Totalt;57,7659921651311
0560 Boxholm;Hållbarhet;Kvinnor;42,7052816798862
0560 Boxholm;Hållbarhet;Män;56,8565019570412
0560 Boxholm;Hållbarhet;Totalt;54,8169533971840
0560 Boxholm;Livskvalitet;Kvinnor;53,8805596080861
0560 Boxholm;Livskvalitet;Män;59,0128480313598
0560 Boxholm;Livskvalitet;Totalt;58,7275024319025
0561 Åtvidaberg;Hållbarhet;Kvinnor;42,7945928782830
0561 Åtvidaberg;Hållbarhet;Män;47,3318830582109
0561 Åtvidaberg;Hållbarhet;Totalt;53,3141357710341
0561 Åtvidaberg;Livskvalitet;Kvinnor;54,6226006623137
0561 Åtvidaberg;Livskvalitet;Män;59,5670346560636
0561 Åtvidaberg;Livskvalitet;Totalt;57,1245646607547
0562 Finspång;Hållbarhet;Kvinnor;37,9986022938334
0562 Finspång;Hållbarhet;Män;41,4617447554205
0562 Finspång;Hållbarhet;Totalt;50,2183739489942
0562 Finspång;Livskvalitet;Kvinnor;51,9469573991109
0562 Finspång;Livskvalitet;Män;61,0438341005913
0562 Finspång;Livskvalitet;Totalt;55,6236924304314
0563 Valdemarsvik;Hållbarhet;Kvinnor;33,7385314721004
0563 Valdemarsvik;Hållbarhet;Män;39,3511714541748
0563 Valdemarsvik;Hållbarhet;Totalt;49,3619599496551
0563 Valdemarsvik;Livskvalitet;Kvinnor;49,3914168668026
0563 Valdemarsvik;Livskvalitet;Män;52,2718341997076
0563 Valdemarsvik;Livskvalitet;Totalt;48,2340219188008
0580 Linköping;Hållbarhet;Kvinnor;43,9816006274051
0580 Linköping;Hållbarhet;Män;50,7995646854860
0580 Linköping;Hållbarhet;Totalt;53,8733853886268
0580 Linköping;Livskvalitet;Kvinnor;56,0876603685145
0580 Linköping;Livskvalitet;Män;64,4665505370354
0580 Linköping;Livskvalitet;Totalt;58,3677865113208
0581 Norrköping;Hållbarhet;Kvinnor;37,5469330824478
0581 Norrköping;Hållbarhet;Män;41,9302034740602
0581 Norrköping;Hållbarhet;Totalt;48,6140731874913
0581 Norrköping;Livskvalitet;Kvinnor;53,5419654126251
0581 Norrköping;Livskvalitet;Män;57,9602558895746
0581 Norrköping;Livskvalitet;Totalt;54,3368213437434
0582 Söderköping;Hållbarhet;Kvinnor;44,8560769913777
0582 Söderköping;Hållbarhet;Män;49,7391225849683
0582 Söderköping;Hållbarhet;Totalt;56,7263527384751
0582 Söderköping;Livskvalitet;Kvinnor;52,3646759498922
0582 Söderköping;Livskvalitet;Män;57,5725614895645
0582 Söderköping;Livskvalitet;Totalt;54,7790074842824
0583 Motala;Hållbarhet;Kvinnor;39,0892542064435
0583 Motala;Hållbarhet;Män;41,2253875937692
0583 Motala;Hållbarhet;Totalt;50,4923422313333
0583 Motala;Livskvalitet;Kvinnor;53,6596551498318
0583 Motala;Livskvalitet;Män;58,7498367911719
0583 Motala;Livskvalitet;Totalt;55,3133171542193
0584 Vadstena;Hållbarhet;Kvinnor;45,2009383186628
0584 Vadstena;Hållbarhet;Män;54,5204028861808
0584 Vadstena;Hållbarhet;Totalt;60,0777041419231
0584 Vadstena;Livskvalitet;Kvinnor;55,5909988970795
0584 Vadstena;Livskvalitet;Män;62,5799999977463
0584 Vadstena;Livskvalitet;Totalt;60,4489361915748
0586 Mjölby;Hållbarhet;Kvinnor;36,7528241678170
0586 Mjölby;Hållbarhet;Män;47,7923747718536
0586 Mjölby;Hållbarhet;Totalt;53,9319954283457
0586 Mjölby;Livskvalitet;Kvinnor;50,6344573365725
0586 Mjölby;Livskvalitet;Män;62,7745830529184
0586 Mjölby;Livskvalitet;Totalt;57,2872412860059
0604 Aneby;Hållbarhet;Kvinnor;46,6557618873989
0604 Aneby;Hållbarhet;Män;54,9149625068118
0604 Aneby;Hållbarhet;Totalt;55,2917068237626
0604 Aneby;Livskvalitet;Kvinnor;47,4075229512794
0604 Aneby;Livskvalitet;Män;62,5587973950516
0604 Aneby;Livskvalitet;Totalt;56,4665773198421
0617 Gnosjö;Hållbarhet;Kvinnor;35,8205996204447
0617 Gnosjö;Hållbarhet;Män;43,5513704006418
0617 Gnosjö;Hållbarhet;Totalt;52,1581079546974
0617 Gnosjö;Livskvalitet;Kvinnor;51,9902635107027
0617 Gnosjö;Livskvalitet;Män;59,0242990256560
0617 Gnosjö;Livskvalitet;Totalt;57,7321849624650
0642 Mullsjö;Hållbarhet;Kvinnor;34,9203598272360
0642 Mullsjö;Hållbarhet;Män;38,7855549779482
0642 Mullsjö;Hållbarhet;Totalt;52,0069316785223
0642 Mullsjö;Livskvalitet;Kvinnor;54,5543054113400
0642 Mullsjö;Livskvalitet;Män;66,7468005644010
0642 Mullsjö;Livskvalitet;Totalt;62,0435141593168
0643 Habo;Hållbarhet;Kvinnor;50,5492872076569
0643 Habo;Hållbarhet;Män;53,2432236842705
0643 Habo;Hållbarhet;Totalt;59,0069404749680
0643 Habo;Livskvalitet;Kvinnor;55,6089841359402
0643 Habo;Livskvalitet;Män;70,2600858104414
0643 Habo;Livskvalitet;Totalt;62,5750972719314
0662 Gislaved;Hållbarhet;Kvinnor;39,5694472579448
0662 Gislaved;Hållbarhet;Män;36,7003460858716
0662 Gislaved;Hållbarhet;Totalt;51,6188176963722
0662 Gislaved;Livskvalitet;Kvinnor;51,9790282224288
0662 Gislaved;Livskvalitet;Män;53,7645880807198
0662 Gislaved;Livskvalitet;Totalt;56,6899660158904
0665 Vaggeryd;Hållbarhet;Kvinnor;45,1483800970844
0665 Vaggeryd;Hållbarhet;Män;43,1745313415296
0665 Vaggeryd;Hållbarhet;Totalt;54,8379731712942
0665 Vaggeryd;Livskvalitet;Kvinnor;49,7861225466562
0665 Vaggeryd;Livskvalitet;Män;61,4209015320795
0665 Vaggeryd;Livskvalitet;Totalt;56,8877976627138
0680 Jönköping;Hållbarhet;Kvinnor;44,5522858165201
0680 Jönköping;Hållbarhet;Män;49,0628586468819
0680 Jönköping;Hållbarhet;Totalt;53,5957456387676
0680 Jönköping;Livskvalitet;Kvinnor;57,0105229587630
0680 Jönköping;Livskvalitet;Män;71,8735425070938
0680 Jönköping;Livskvalitet;Totalt;62,8616166981671
0682 Nässjö;Hållbarhet;Kvinnor;39,3961276111756
0682 Nässjö;Hållbarhet;Män;41,6036012657889
0682 Nässjö;Hållbarhet;Totalt;51,7144422602976
0682 Nässjö;Livskvalitet;Kvinnor;53,1019235902850
0682 Nässjö;Livskvalitet;Män;60,2317387977152
0682 Nässjö;Livskvalitet;Totalt;55,5099493593511
0683 Värnamo;Hållbarhet;Kvinnor;42,9168941935276
0683 Värnamo;Hållbarhet;Män;44,4588208470263
0683 Värnamo;Hållbarhet;Totalt;54,2109242737095
0683 Värnamo;Livskvalitet;Kvinnor;53,7350742143538
0683 Värnamo;Livskvalitet;Män;60,8675352135315
0683 Värnamo;Livskvalitet;Totalt;57,8838489865521
0684 Sävsjö;Hållbarhet;Kvinnor;35,4198308935521
0684 Sävsjö;Hållbarhet;Män;37,9663942035608
0684 Sävsjö;Hållbarhet;Totalt;48,5033996703552
0684 Sävsjö;Livskvalitet;Kvinnor;47,7587352561934
0684 Sävsjö;Livskvalitet;Män;58,1914110461150
0684 Sävsjö;Livskvalitet;Totalt;55,2309891580026
0685 Vetlanda;Hållbarhet;Kvinnor;40,6578726004835
0685 Vetlanda;Hållbarhet;Män;45,2623988025482
0685 Vetlanda;Hållbarhet;Totalt;51,5953773584080
0685 Vetlanda;Livskvalitet;Kvinnor;53,8978120817264
0685 Vetlanda;Livskvalitet;Män;61,4570745081265
0685 Vetlanda;Livskvalitet;Totalt;57,6794596209482
0686 Eksjö;Hållbarhet;Kvinnor;42,7330296272084
0686 Eksjö;Hållbarhet;Män;42,5234550036029
0686 Eksjö;Hållbarhet;Totalt;50,1691967933551
0686 Eksjö;Livskvalitet;Kvinnor;55,0042880981192
0686 Eksjö;Livskvalitet;Män;59,8353816691191
0686 Eksjö;Livskvalitet;Totalt;58,6002059911497
0687 Tranås;Hållbarhet;Kvinnor;41,4460557821815
0687 Tranås;Hållbarhet;Män;46,3568078214591
0687 Tranås;Hållbarhet;Totalt;49,6114611291744
0687 Tranås;Livskvalitet;Kvinnor;55,7881086964638
0687 Tranås;Livskvalitet;Män;63,0566959765857
0687 Tranås;Livskvalitet;Totalt;60,6079807814732
0760 Uppvidinge;Hållbarhet;Kvinnor;32,1714002255580
0760 Uppvidinge;Hållbarhet;Män;36,6134138887299
0760 Uppvidinge;Hållbarhet;Totalt;49,3793010334201
0760 Uppvidinge;Livskvalitet;Kvinnor;41,5679517097914
0760 Uppvidinge;Livskvalitet;Män;47,6064492745751
0760 Uppvidinge;Livskvalitet;Totalt;45,4871867807274
0761 Lessebo;Hållbarhet;Kvinnor;30,3519068517808
0761 Lessebo;Hållbarhet;Män;30,7089480873673
0761 Lessebo;Hållbarhet;Totalt;45,0896968140884
0761 Lessebo;Livskvalitet;Kvinnor;36,5760244092527
0761 Lessebo;Livskvalitet;Män;48,5052100891154
0761 Lessebo;Livskvalitet;Totalt;44,1945711596548
0763 Tingsryd;Hållbarhet;Kvinnor;34,2783782533226
0763 Tingsryd;Hållbarhet;Män;35,7972192441146
0763 Tingsryd;Hållbarhet;Totalt;49,8819610203854
0763 Tingsryd;Livskvalitet;Kvinnor;42,8560596649426
0763 Tingsryd;Livskvalitet;Män;50,0857583084444
0763 Tingsryd;Livskvalitet;Totalt;48,7107287077227
0764 Alvesta;Hållbarhet;Kvinnor;35,5602731765862
0764 Alvesta;Hållbarhet;Män;43,4434774714636
0764 Alvesta;Hållbarhet;Totalt;51,7531925068161
0764 Alvesta;Livskvalitet;Kvinnor;48,2691873877512
0764 Alvesta;Livskvalitet;Män;54,0023808037347
0764 Alvesta;Livskvalitet;Totalt;50,2516026828106
0765 Älmhult;Hållbarhet;Kvinnor;40,3197242961036
0765 Älmhult;Hållbarhet;Män;47,7135013040470
0765 Älmhult;Hållbarhet;Totalt;54,7099903956098
0765 Älmhult;Livskvalitet;Kvinnor;47,5033444092465
0765 Älmhult;Livskvalitet;Män;57,9555186266109
0765 Älmhult;Livskvalitet;Totalt;53,3979799411527
0767 Markaryd;Hållbarhet;Kvinnor;31,1860035720307
0767 Markaryd;Hållbarhet;Män;34,4007354879191
0767 Markaryd;Hållbarhet;Totalt;46,6631335231912
0767 Markaryd;Livskvalitet;Kvinnor;40,5727747149458
0767 Markaryd;Livskvalitet;Män;52,5996065727867
0767 Markaryd;Livskvalitet;Totalt;49,6405495667970
0780 Växjö;Hållbarhet;Kvinnor;41,7164515470033
0780 Växjö;Hållbarhet;Män;45,6281879219727
0780 Växjö;Hållbarhet;Totalt;53,4891464281006
0780 Växjö;Livskvalitet;Kvinnor;55,6251523511962
0780 Växjö;Livskvalitet;Män;62,0860496188279
0780 Växjö;Livskvalitet;Totalt;56,9194200601698
0781 Ljungby;Hållbarhet;Kvinnor;37,5664566472716
