Region;Del;Kon;Tema;Varde_stand
04 Södermanlands län;Hållbarhet;Män;Ekonomi;45,1761314513464995
04 Södermanlands län;Hållbarhet;Män;Social;53,5158978028192678
04 Södermanlands län;Hållbarhet;Totalt;Ekonomi;12,9320875968160554
04 Södermanlands län;Hållbarhet;Totalt;Miljö;56,4243163704641120
04 Södermanlands län;Hållbarhet;Totalt;Social;46,7230848283029658
04 Södermanlands län;Livskvalitet;Kvinnor;T1;55,0000000000000000
04 Södermanlands län;Livskvalitet;Kvinnor;T10;34,2434229016749683
04 Södermanlands län;Livskvalitet;Kvinnor;T11;29,7902046750072032
04 Södermanlands län;Livskvalitet;Kvinnor;T12;-14,0114207127481301
04 Södermanlands län;Livskvalitet;Kvinnor;T2;-46,7741935483871103
04 Södermanlands län;Livskvalitet;Kvinnor;T3;117,9487179487179560
04 Södermanlands län;Livskvalitet;Kvinnor;T4;59,4594594594594739
04 Södermanlands län;Livskvalitet;Kvinnor;T5;-3,2320337191331898
04 Södermanlands län;Livskvalitet;Kvinnor;T6;21,7169876687786605
04 Södermanlands län;Livskvalitet;Kvinnor;T7;32,4982461719166480
04 Södermanlands län;Livskvalitet;Kvinnor;T8;-11,1560411358328260
04 Södermanlands län;Livskvalitet;Kvinnor;T9;26,2947366681144885
04 Södermanlands län;Livskvalitet;Män;T1;8,3333333333333321
04 Södermanlands län;Livskvalitet;Män;T10;-33,1379358744483739
04 Södermanlands län;Livskvalitet;Män;T11;-15,1079243667713374
04 Södermanlands län;Livskvalitet;Män;T12;70,2642908395120855
04 Södermanlands län;Livskvalitet;Män;T2;125,2688172043010724
04 Södermanlands län;Livskvalitet;Män;T3;84,6153846153846274
04 Södermanlands län;Livskvalitet;Män;T4;55,0675675675675436
04 Södermanlands län;Livskvalitet;Män;T5;45,2791277312093783
04 Södermanlands län;Livskvalitet;Män;T6;33,6785886433863269
04 Södermanlands län;Livskvalitet;Män;T7;15,1341648555527915
04 Södermanlands län;Livskvalitet;Män;T8;113,4004082525035670
04 Södermanlands län;Livskvalitet;Män;T9;19,9100366079296940
04 Södermanlands län;Livskvalitet;Totalt;T1;42,1264724833288966
04 Södermanlands län;Livskvalitet;Totalt;T10;0,0000000000000000
04 Södermanlands län;Livskvalitet;Totalt;T11;6,8908469904035625
04 Södermanlands län;Livskvalitet;Totalt;T12;28,6525950729491257
04 Södermanlands län;Livskvalitet;Totalt;T2;39,7849462365591293
04 Södermanlands län;Livskvalitet;Totalt;T3;71,3046887615667657
04 Södermanlands län;Livskvalitet;Totalt;T4;58,3594232031970037
04 Södermanlands län;Livskvalitet;Totalt;T5;22,7730530138821941
04 Södermanlands län;Livskvalitet;Totalt;T6;24,0309079703192410
04 Södermanlands län;Livskvalitet;Totalt;T7;23,9124965626085562
04 Södermanlands län;Livskvalitet;Totalt;T8;50,9596385800659135
04 Södermanlands län;Livskvalitet;Totalt;T9;24,3666630929658972
05 Östergötlands län;Hållbarhet;Kvinnor;Ekonomi;-8,3414510869318530
05 Östergötlands län;Hållbarhet;Kvinnor;Social;58,7461590634466901
05 Östergötlands län;Hållbarhet;Män;Ekonomi;64,3185556435542480
05 Östergötlands län;Hållbarhet;Män;Social;54,1519474588804144
05 Östergötlands län;Hållbarhet;Totalt;Ekonomi;53,1618519894144868
05 Östergötlands län;Hållbarhet;Totalt;Miljö;56,0271987233658919
05 Östergötlands län;Hållbarhet;Totalt;Social;63,5004454837189272
05 Östergötlands län;Livskvalitet;Kvinnor;T1;91,6666666666666714
05 Östergötlands län;Livskvalitet;Kvinnor;T10;83,2661270642786917
05 Östergötlands län;Livskvalitet;Kvinnor;T11;100,6929290782525612
05 Östergötlands län;Livskvalitet;Kvinnor;T12;24,2255441281990187
05 Östergötlands län;Livskvalitet;Kvinnor;T2;-61,2903225806451530
05 Östergötlands län;Livskvalitet;Kvinnor;T3;82,0512820512820440
05 Östergötlands län;Livskvalitet;Kvinnor;T4;47,2972972972972840
05 Östergötlands län;Livskvalitet;Kvinnor;T5;9,5033392604601605
05 Östergötlands län;Livskvalitet;Kvinnor;T6;52,2027181536228539
05 Östergötlands län;Livskvalitet;Kvinnor;T7;66,8183735316430045
05 Östergötlands län;Livskvalitet;Kvinnor;T8;20,7975839951941417
05 Östergötlands län;Livskvalitet;Kvinnor;T9;72,0643101133858437
05 Östergötlands län;Livskvalitet;Män;T1;45,0000000000000000
05 Östergötlands län;Livskvalitet;Män;T10;26,5471719007335132
05 Östergötlands län;Livskvalitet;Män;T11;30,0445536892358867
05 Östergötlands län;Livskvalitet;Män;T12;49,6979191580961768
05 Östergötlands län;Livskvalitet;Män;T2;89,2473118279569917
05 Östergötlands län;Livskvalitet;Män;T3;51,2820512820512988
05 Östergötlands län;Livskvalitet;Män;T4;44,2567567567567721
05 Östergötlands län;Livskvalitet;Män;T5;67,2463635327876261
05 Östergötlands län;Livskvalitet;Män;T6;51,7573814692365417
05 Östergötlands län;Livskvalitet;Män;T7;50,5234555383223309
05 Östergötlands län;Livskvalitet;Män;T8;126,3762175548576607
05 Östergötlands län;Livskvalitet;Män;T9;37,2114277754105416
05 Östergötlands län;Livskvalitet;Totalt;T1;53,4213802300101932
05 Östergötlands län;Livskvalitet;Totalt;T10;53,6441842062126071
05 Östergötlands län;Livskvalitet;Totalt;T11;64,6080064144963160
05 Östergötlands län;Livskvalitet;Totalt;T12;36,4034321932552416
05 Östergötlands län;Livskvalitet;Totalt;T2;15,5913978494623571
05 Östergötlands län;Livskvalitet;Totalt;T3;61,6086379379030475
05 Östergötlands län;Livskvalitet;Totalt;T4;60,3370825551389345
05 Östergötlands län;Livskvalitet;Totalt;T5;44,4126966835613644
05 Östergötlands län;Livskvalitet;Totalt;T6;44,1676107453182922
05 Östergötlands län;Livskvalitet;Totalt;T7;58,6185915864140838
05 Östergötlands län;Livskvalitet;Totalt;T8;74,0248833783201121
05 Östergötlands län;Livskvalitet;Totalt;T9;55,5195879694911909
06 Jönköpings län;Hållbarhet;Kvinnor;Ekonomi;-4,3171684743791401
06 Jönköpings län;Hållbarhet;Kvinnor;Social;62,1429232969912988
06 Jönköpings län;Hållbarhet;Män;Ekonomi;74,6906486275257180
06 Jönköpings län;Hållbarhet;Män;Social;42,9315098278537022
06 Jönköpings län;Hållbarhet;Totalt;Ekonomi;25,0812225361070205
06 Jönköpings län;Hållbarhet;Totalt;Miljö;60,2253383790836452
06 Jönköpings län;Hållbarhet;Totalt;Social;57,9493504657995118
06 Jönköpings län;Livskvalitet;Kvinnor;T1;81,6666666666666714
06 Jönköpings län;Livskvalitet;Kvinnor;T10;79,0740378592323623
06 Jönköpings län;Livskvalitet;Kvinnor;T11;70,7894467436491652
06 Jönköpings län;Livskvalitet;Kvinnor;T12;56,1109782348720287
06 Jönköpings län;Livskvalitet;Kvinnor;T2;-30,6451612903225907
06 Jönköpings län;Livskvalitet;Kvinnor;T3;58,9743589743589851
06 Jönköpings län;Livskvalitet;Kvinnor;T4;31,0810810810810807
06 Jönköpings län;Livskvalitet;Kvinnor;T5;22,3766651012464024
06 Jönköpings län;Livskvalitet;Kvinnor;T6;67,1201380743853520
06 Jönköpings län;Livskvalitet;Kvinnor;T7;63,3031077994511833
06 Jönköpings län;Livskvalitet;Kvinnor;T8;1,6152332535763065
06 Jönköpings län;Livskvalitet;Kvinnor;T9;70,1617537423202293
06 Jönköpings län;Livskvalitet;Män;T1;26,6666666666666643
06 Jönköpings län;Livskvalitet;Män;T10;20,6491822657577977
06 Jönköpings län;Livskvalitet;Män;T11;-5,9267245446757313
06 Jönköpings län;Livskvalitet;Män;T12;78,8319779956948850
06 Jönköpings län;Livskvalitet;Män;T2;122,0430107526881471
06 Jönköpings län;Livskvalitet;Män;T3;82,0512820512820440
06 Jönköpings län;Livskvalitet;Män;T4;27,0270270270270174
06 Jönköpings län;Livskvalitet;Män;T5;101,6397635445219692
06 Jönköpings län;Livskvalitet;Män;T6;81,9043198303245532
06 Jönköpings län;Livskvalitet;Män;T7;53,1474486140980105
06 Jönköpings län;Livskvalitet;Män;T8;117,1686728524344829
